cycle,t_read_ms,t_lane_ms,t_sign_ms,t_control_ms,latency_ms
130,0.2111500002683897,3.459147999819834,0.017630000002100132,0.008054999852902256,3.695982999943226
131,0.12331500010986929,3.363666000041121,0.015870999959588517,0.00783299992690445,3.5106850000374834
132,0.206019999950513,3.4790190002240706,0.01725899983284762,0.008037000043259468,3.7103350000506907
133,0.21903800006839447,3.6541680001391796,0.028036999992764322,0.018462999832991045,3.9197060000333295
134,0.21863099982510903,3.486852000150975,0.01718499970593257,0.007870999979786575,3.7305389996618032
135,0.20950200041625067,3.4880929997598287,0.015500000245083356,0.008165999588527484,3.72126100000969
136,0.19916800010832958,3.6743900000146823,0.026962999982060865,0.01259300006495323,3.913114000170026
137,0.21085300022605225,3.4797220000655216,0.019203999727324117,0.007314999947993783,3.7170939999668917
138,0.2330199999960314,3.7802790002388065,0.015759999769215938,0.008463000085612293,4.037522000089666
139,0.2158160000362841,3.447962999871379,0.019999999949504854,0.009111000053962925,3.692889999911131
140,0.24451999979646644,3.502630000184581,0.016480999875057023,0.009278000106860418,3.772908999962965
141,0.14270400015448104,3.4140190000471193,0.024166000002878718,0.013185999705456197,3.5940749999099353
142,0.20892700013064314,3.4925370000564726,0.016555999991396675,0.008925999736675294,3.7269459999151877
143,0.5159659999662836,3.50412999978289,0.017888999991555465,0.009963000138668576,4.047947999879398
144,0.21590899996226653,3.4493329999349953,0.015536999853793532,0.008630000138509786,3.689408999889565
145,0.24100100017676596,3.7606319997394166,0.03214800017303787,0.01640799973756657,4.050188999826787
146,0.20025999992867582,3.8264099998741585,0.023907000013423385,0.013371000022743829,4.063947999839002
147,0.3603909999583266,3.7509650001084083,0.016147999758686638,0.00820400009615696,4.1357079999215784
148,0.2630750000207627,4.094170999906055,0.01936999979079701,0.010277999990648823,4.386893999708263
149,0.22370499982571346,3.4314630001972546,0.01755499988576048,0.008445000275969505,3.681168000184698
150,0.20079800015082583,3.458110999872588,0.019630000224424293,0.008184999842342222,3.68672400009018
151,0.13307500012160745,3.391721999832953,0.01679600018178462,0.0073520000114513095,3.5489450001477962
152,0.20953800003553624,3.503501000068354,0.019499999780236976,0.008796000201982679,3.74133500008611
153,0.2390019999438664,4.097521999938181,0.05064800006948644,0.023351999971055193,4.410523999922589
154,0.23261200021806872,3.477148000001762,0.016055999822128797,0.009111000053962925,3.7349270000959223
155,0.3033170000890095,3.443907000018953,0.016463000065414235,0.009408000096300384,3.7730950002696773
156,0.23724199991193018,3.627075999702356,0.020592000055330573,0.013519000276573934,3.8984289999461907
157,0.21274199980325648,3.448537000167562,0.016351999875041656,0.008463000085612293,3.6860939999314724
158,0.19929700010834495,3.993355000147858,0.01592599983268883,0.010000000202126103,4.218578000291018
159,0.2422610000394343,3.4243699997205113,0.014073999864194775,0.008926000191422645,3.689630999815563
160,0.2227240001957398,3.455888999724266,0.015610999980708584,0.008445000275969505,3.7026690001766838
161,0.13850100003764965,3.3932040000763664,0.013500000022759195,0.007054999969113851,3.552260000105889
162,0.21553800024776137,3.4665009998207097,0.014741000086360145,0.009036999927047873,3.705817000081879
163,0.20470500021474436,3.465740999672562,0.019241000245528994,0.00781499966251431,3.6975019997953495
164,0.17607499967198237,3.3972780001931824,0.01516700012871297,0.005869999768037815,3.5943899997619155
165,0.1968900000974827,3.4219999997731065,0.01813000017136801,0.008832999810692854,3.64585299985265
166,0.14835199999652104,3.4632410001904645,0.01755599987518508,0.00820400009615696,3.6373530001583276
167,0.2068900002996088,3.5609079995992943,0.017297000340477098,0.008073999651969643,3.79316899989135
168,0.31233499976224266,3.600518999974156,0.02088900009766803,0.0086860000010347,3.9424289998351014
169,0.21861200002604164,3.230332999919483,0.015240000266203424,0.007333999747061171,3.471518999958789
170,0.20881599994027056,3.324165999856632,0.015796000297996216,0.009425999905943172,3.558204000000842
171,0.12094500016246457,3.2097579996843706,0.013760000001639128,0.008648000402899925,3.353111000251374
172,0.20240899993950734,3.3836110001175257,0.01592599983268883,0.008667000201967312,3.610613000091689
173,0.17600099999981467,3.527445000145235,0.016573999801039463,0.009963000138668576,3.729983000084758
174,0.21305700010998407,3.4557590001895733,0.01536999980089604,0.008797000191407278,3.6929830002918607
175,0.2121679999618209,3.450591999808239,0.01755600032993243,0.008592999620304909,3.6889089997202973
176,0.31663200024922844,4.1535780001140665,0.05209299979469506,0.02346300016142777,4.545766000319418
177,0.21207500003583846,3.4646300000531483,0.017999999727180693,0.008852000064507592,3.703556999880675
178,0.20796400031031226,3.58211200000369,0.016204000075958902,0.008276999778900063,3.814557000168861
179,0.22337200016409042,3.407592000257864,0.014814999758527847,0.007722000191279221,3.6535010003717616
